Applicable: 40 / 68
ID           APPL   reason
ARCH-001     YES    match
ARCH-002     YES    match
ARCH-003     YES    match
ARCH-004     YES    match
ARCH-005     YES    match
ARCH-006     YES    match
ARCH-007     YES    match
ARCH-008     YES    match
ARCH-009     YES    match
ARCH-010     no     no-match
ARCH-011     YES    match
ARCH-012     YES    match
CH-001       no     no-match
CH-002       no     no-match
CH-003       no     no-match
CH-004       YES    match
CH-005       no     no-match
CH-006       no     no-match
CH-007       no     no-match
CH-008       no     no-match
HITL-001     no     no-match
HITL-002     no     no-match
HITL-003     no     no-match
HITL-004     no     no-match
HITL-005     no     no-match
OBS-001      YES    match
OBS-002      YES    match
OBS-003      YES    match
OBS-004      YES    match
OBS-005      no     no-match
OBS-006      YES    match
OPS-001      YES    match
OPS-002      YES    match
OPS-003      YES    match
SCALE-001    YES    match
SCALE-002    YES    match
SCALE-003    YES    match
SCALE-004    YES    match
SCALE-005    no     no-match
SCALE-006    YES    match
SDK-001      no     no-match
SDK-002      no     no-match
SDK-003      no     no-match
SDK-004      no     no-match
SDK-005      no     no-match
SEC-001      no     no-match
SEC-002      no     no-match
SEC-003      no     no-match
SEC-004      YES    match
SEC-005      YES    match
SEC-006      YES    match
SEC-007      YES    match
SEC-008      YES    match
